%Automatically built ARFF-file
%Feature sets: ['max_sentiment', 'min_sentiment', 'avg_sentiment_no_neutral', 'baseline', 'avg_sentiment_no_neutral_unigrams']
@RELATION sentiment

@ATTRIBUTE avg_sentiment_no_neutral NUMERIC
@ATTRIBUTE avg_sentiment_no_neutral_unigrams NUMERIC
@ATTRIBUTE baseline NUMERIC
@ATTRIBUTE max_sentiment NUMERIC
@ATTRIBUTE min_sentiment NUMERIC
@ATTRIBUTE sentiment {"-", "+"}

@DATA
0.61111,0.5798625,0.505952857143,0.61111,0.5,"+"
0.34722,0.486115,0.498017142857,0.5,0.34722,"+"
0.79167,0.643516666667,0.51041625,0.79167,0.5,"-"
0.61111,0.583335,0.5098375,0.61111,0.5,"+"
?,0.680555,0.509920357143,0.5,0.5,"-"
?,0.64352,0.5354175,0.56944,0.5,"+"
0.81944,0.7395825,0.598764444444,0.81944,0.5,"+"
?,0.5,0.518518666667,0.5,0.5,"+"
0.625,0.72222,0.50737875,0.625,0.5,"+"
?,0.578334,0.527315,0.5,0.5,"+"
?,0.517361666667,0.501051818182,0.5,0.5,"+"
0.73611,0.31111,0.493826666667,0.73611,0.5,"+"
?,0.456945,0.458334,0.5,0.5,"+"
0.625,0.48148,0.507247391304,0.625,0.5,"+"
0.875,0.65278,0.560186666667,0.875,0.5,"+"
?,0.5,0.5062505,0.5,0.5,"+"
?,0.20833,0.485380526316,0.52778,0.5,"+"
0.88889,0.569445,0.506944375,0.88889,0.5,"+"
?,0.74537,0.53835952381,0.5,0.5,"+"
?,0.573414285714,0.535053333333,0.5,0.5,"+"
?,0.436112,0.4798615,0.5,0.47222,"+"
?,0.444445,0.481481111111,0.5,0.5,"-"
0.73611,0.602778,0.535714285714,0.73611,0.5,"+"
0.77778,0.533332,0.509258888889,0.77778,0.5,"+"
?,0.265625,0.463942307692,0.5,0.44444,"+"
?,?,0.49826375,0.5,0.5,"+"
0.22222,0.6875,0.503623478261,0.5,0.22222,"+"
0.77778,0.507937142857,0.500771944444,0.77778,0.5,"+"
?,0.613426666667,0.527298965517,0.5,0.5,"+"
?,0.38889,0.49537,0.54167,0.5,"+"
0.61111,0.375,0.483659411765,0.61111,0.5,"+"
?,0.80556,0.538195,0.5,0.5,"+"
?,?,0.497395625,0.5,0.5,"+"
0.27778,?,0.511751538462,0.5,0.27778,"-"
0.65278,0.60764,0.526620833333,0.65278,0.5,"+"
?,0.268516666667,0.477564230769,0.58333,0.5,"+"
?,0.97222,0.569444285714,0.5,0.5,"+"
0.65278,0.631945,0.55208375,0.65278,0.5,"+"
?,0.663888,0.527777804878,0.5,0.5,"+"
0.84722,0.61111,0.513889333333,0.84722,0.5,"+"
0.23611,0.6006925,0.5194445,0.5,0.23611,"+"
?,0.76389,0.552778,0.5,0.5,"+"
?,0.76389,0.552778,0.5,0.5,"+"
?,?,0.497685,0.5,0.45833,"+"
0.66667,0.66667,0.583335,0.66667,0.5,"+"
0.875,0.680556666667,0.525720740741,0.875,0.5,"+"
0.63889,0.5104175,0.505719411765,0.63889,0.5,"-"
0.84722,0.57407,0.507716111111,0.84722,0.5,"+"
?,0.66667,0.512153125,0.5,0.5,"+"
0.77778,0.747222,0.565058421053,0.77778,0.5,"+"
?,0.580556,0.511574166667,0.5,0.5,"+"
0.81944,0.694446,0.538314827586,0.81944,0.5,"+"
?,0.73611,0.516414545455,0.59722,0.5,"+"
?,0.77083,0.605554,0.5,0.48611,"+"
?,0.625,0.520503333333,0.56944,0.5,"+"
?,0.5625,0.515783181818,0.5,0.5,"+"
